sampno,hh_vmt_fee_static,hh_total_vmt,hh_income_cat,hh_urbrur,hh_income_group
40774309,0.940064,58.754000000000005,1,1,low
40775481,3.6094720000000002,225.59199999999998,8,1,mid_high
40776587,3.713616,154.734,5,1,mid_low
40784090,25.84992,1615.62,7,1,mid_low
40786670,0.956544,39.855999999999995,5,1,mid_low
40788151,7.214976,300.624,11,1,high
40789357,6.2872319999999995,392.952,11,1,high
40790454,20.14704,1007.352,11,1,high
40791786,1.751808,109.488,8,1,mid_high
40791841,38.635872,1756.176,7,2,mid_low
